OID_CD119_20|GEOID_CD119_20|NAMELSAD_CD119_20|AREALAND_CD119_20|AREAWATER_CD119_20|MTFCC_CD119_20|FUNCSTAT_CD119_20|OID_ZCTA5_20|GEOID_ZCTA5_20|NAMELSAD_ZCTA5_20|AREALAND_ZCTA5_20|AREAWATER_ZCTA5_20|MTFCC_ZCTA5_20|CLASSFP_ZCTA5_20|FUNCSTAT_ZCTA5_20|AREALAND_PART|AREAWATER_PART
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|||||||||558858619|1794806659
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258284549|36009|ZCTA5 36009|417245447|1545060|G6350|B5|S|4938464|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258284569|36010|ZCTA5 36010|335675180|236811|G6350|B5|S|63909830|93618
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258284581|36016|ZCTA5 36016|603313180|771321|G6350|B5|S|8188600|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258284661|36027|ZCTA5 36027|752234718|50282509|G6350|B5|S|21695945|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258284669|36028|ZCTA5 36028|294242164|4114602|G6350|B5|S|175773080|3421130
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258284697|36034|ZCTA5 36034|156984440|250360|G6350|B5|S|50457591|6006
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258284738|36038|ZCTA5 36038|479154|0|G6350|B5|S|479154|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258284980|36079|ZCTA5 36079|485618613|1056390|G6350|B5|S|34467480|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285737|36301|ZCTA5 36301|231035704|1657451|G6350|B5|S|231035704|1657451
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285787|36303|ZCTA5 36303|152462800|71495|G6350|B5|S|152462800|71495
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285803|36305|ZCTA5 36305|80246695|158541|G6350|B5|S|80246695|158541
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285817|36310|ZCTA5 36310|542610004|16121656|G6350|B5|S|542610004|16121656
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285824|36311|ZCTA5 36311|320895553|186510|G6350|B5|S|206793817|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285836|36312|ZCTA5 36312|191727488|822736|G6350|B5|S|191727488|822736
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285839|36313|ZCTA5 36313|9041208|0|G6350|B5|S|9041208|0
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285844|36314|ZCTA5 36314|66756834|37127|G6350|B5|S|66756834|37127
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285850|36316|ZCTA5 36316|141536589|524535|G6350|B5|S|141536589|524535
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285854|36317|ZCTA5 36317|106406480|177457|G6350|B5|S|98184086|177457
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285862|36318|ZCTA5 36318|122360275|487057|G6350|B5|S|122360275|487057
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285873|36319|ZCTA5 36319|269311859|455432|G6350|B5|S|269311859|455432
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285881|36320|ZCTA5 36320|166418938|301853|G6350|B5|S|166418938|301853
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285883|36321|ZCTA5 36321|16353446|162065|G6350|B5|S|16353446|162065
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285892|36322|ZCTA5 36322|154059915|136952|G6350|B5|S|154059915|136952
2119035781135773|0101|Congressional District 1|18752973689|2274743296|G5200|N|221704258285908|36323|ZCTA5 36323|602698864|1786420|G6350|B5|S|602698864|1786420
